A,B,Weight,5,10,15,Date
436354849,1595046803,22,2,0,0,2017-06-15
436354849,1542859260,303,11,8,8,2017-06-15
766418045,2120606799,44436,84,77,68,2017-06-15
261506095,2090913828,11386,119,110,103,2017-06-15
937382991,1297626412,1,0,0,0,2017-06-15
1669106938,1797478476,39,1,1,1,2017-06-15
436354849,1093938767,202,5,4,4,2017-06-15
436354849,482638152,2614,2,2,2,2017-06-15
1863652836,1797478476,58311,38,33,32,2017-06-15
529267318,1931053114,4022,37,32,28,2017-06-15
1931053114,509894971,7365,13,13,12,2017-06-15
509894971,929282399,1,0,0,0,2017-06-15
1797478476,12547397,28,2,2,0,2017-06-15
436354849,509894971,30,2,1,1,2017-06-15
1297626412,529267318,172,4,3,3,2017-06-15
1669106938,1105957944,38832,153,148,142,2017-06-15
667431128,1813070512,240,8,7,7,2017-06-15
529267318,1093938767,12599,4,4,3,2017-06-15
929282399,596479765,170,7,6,4,2017-06-15
1297626412,1797478476,888,27,20,14,2017-06-15
1863652836,1028108067,293,10,7,6,2017-06-15
2019896863,436354849,1044,10,9,9,2017-06-15
984585204,482638152,29300,892,750,614,2017-06-15
1797478476,261506095,1389,26,22,19,2017-06-15
1750929825,188022388,77,2,2,2,2017-06-15
1797478476,13924313,143,6,5,3,2017-06-15
937382991,596479765,13,1,0,0,2017-06-15
1532059983,766418045,37425,1,1,1,2017-06-15
904281690,425693387,8933,98,87,79,2017-06-15
1028108067,937382991,1392,10,10,10,2017-06-15
1983103244,195301567,148,7,4,2,2017-06-15
1319384206,1105957944,37984,44,44,44,2017-06-15
929282399,436354849,302,9,7,7,2017-06-15
1093938767,1297626412,156,6,6,6,2017-06-15
1797478476,1329943085,731,21,18,15,2017-06-15
1797478476,1532059983,57625,69,59,53,2017-06-15
1028108067,53457775,72869,147,143,142,2017-06-15
1797478476,667431128,1248,19,15,13,2017-06-15
717422158,1797478476,1347,52,38,34,2017-06-15
1127633220,1532059983,43,2,2,1,2017-06-15
1496149278,1634201119,40,3,2,1,2017-06-15
937382991,436354849,19,1,1,1,2017-06-15
984585204,13924313,71441,168,156,141,2017-06-15
482638152,506787694,32753,2,2,2,2017-06-15
929282399,1127633220,49108,714,632,566,2017-06-15
1931053114,1523535840,8023,16,12,11,2017-06-15
436354849,261506095,115,4,3,3,2017-06-15
436354849,1634201119,2041,4,4,4,2017-06-15
2120606799,937382991,406,8,7,7,2017-06-15
509894971,667431128,13712,17,17,17,2017-06-15
1532059983,2120606799,76021,6,6,6,2017-06-15
1750929825,1595046803,65857,13,13,12,2017-06-15
1542859260,927000717,25,1,1,0,2017-06-15
436354849,529267318,213,11,8,6,2017-06-15
386541381,1797478476,78,3,3,3,2017-06-15
1595046803,929282399,2,0,0,0,2017-06-15
785521379,1750929825,6,0,0,0,2017-06-15
785521379,425693387,129,8,7,5,2017-06-15
717422158,1750929825,17,1,1,0,2017-06-15
596479765,2019896863,260,1,1,1,2017-06-15
929282399,2019896863,4,0,0,0,2017-06-15
195301567,436354849,599,15,14,13,2017-06-15
509894971,12547397,4024,133,112,89,2017-06-15
13924313,644337676,31052,1,1,1,2017-06-15
596479765,436354849,1116,22,18,17,2017-06-15
436354849,1931053114,282,7,6,6,2017-06-15
1610791280,425693387,563,8,7,6,2017-06-15
436354849,1983103244,343,9,9,8,2017-06-15
1983103244,1329943085,11597,39,38,38,2017-06-15
1669106938,1319384206,58671,210,186,167,2017-06-15
1542859260,1275847397,104,2,2,2,2017-06-15
717422158,937382991,78,4,3,3,2017-06-15
482638152,644337676,44447,3,3,3,2017-06-15
1127633220,727607194,23,1,1,1,2017-06-15
785521379,596479765,3,0,0,0,2017-06-15
927000717,1797478476,233,8,6,6,2017-06-15
529267318,1329943085,8146,4,4,4,2017-06-15
596479765,195301567,64609,19,18,14,2017-06-15
1523535840,937382991,9,1,0,0,2017-06-15
509894971,2090913828,16222,49,49,49,2017-06-15
1750929825,1855318031,3902,103,91,76,2017-06-15
509894971,1105957944,60,4,2,2,2017-06-15
2120606799,1028108067,10276,113,98,86,2017-06-15
482638152,13924313,53178,3,3,3,2017-06-15
1542859260,509894971,121,1,1,1,2017-06-15
1797478476,188022388,1667,30,27,21,2017-06-15
436354849,1750929825,946,18,18,16,2017-06-15
1797478476,482638152,171,10,8,4,2017-06-15
1275847397,644337676,69956,22,21,20,2017-06-15
436354849,188022388,679,17,15,13,2017-06-15
1797478476,53457775,1970,40,29,27,2017-06-15
436354849,2090913828,47,3,1,1,2017-06-15
195301567,1797478476,1185,30,29,22,2017-06-15
1542859260,261506095,12,1,1,0,2017-06-15
2090913828,1523535840,16122,45,45,45,2017-06-15
1093938767,1931053114,24262,213,187,168,2017-06-15
1523535840,195301567,33,1,1,1,2017-06-15
1532059983,596479765,530,10,10,10,2017-06-15
1093938767,1523535840,57014,19,19,19,2017-06-15
1813070512,2090913828,7277,22,20,20,2017-06-15
1275847397,984585204,19987,1,1,1,2017-06-15
717422158,927000717,2,0,0,0,2017-06-15
1127633220,53457775,256,8,7,6,2017-06-15
1855318031,529267318,13358,19,19,17,2017-06-15
1542859260,1750929825,201,1,1,1,2017-06-15
1610791280,436354849,3950,4,3,2,2017-06-15
1542859260,727607194,3,0,0,0,2017-06-15
529267318,1983103244,4850,4,4,4,2017-06-15
13924313,1634201119,75753,83,81,81,2017-06-15
1931053114,667431128,7474,45,42,40,2017-06-15
1669106938,1750929825,6695,10,8,8,2017-06-15
1750929825,1297626412,6,0,0,0,2017-06-15
927000717,1127633220,54,4,2,1,2017-06-15
1542859260,596479765,122,5,4,4,2017-06-15
53457775,596479765,5335,12,12,12,2017-06-15
929282399,1750929825,8,0,0,0,2017-06-15
1595046803,1542859260,63,3,3,1,2017-06-15
1797478476,1634201119,252,11,8,7,2017-06-15
13924313,506787694,48050,1,1,1,2017-06-15
1797478476,1542859260,57663,41,33,31,2017-06-15
1093938767,1813070512,3153,8,8,8,2017-06-15
509894971,261506095,12241,6,5,5,2017-06-15
1931053114,2090913828,9873,111,106,102,2017-06-15
1329943085,998750028,20,2,1,0,2017-06-15
1297626412,1595046803,1,0,0,0,2017-06-15
1797478476,810181038,1,0,0,0,2017-06-15
1532059983,436354849,1937,31,24,24,2017-06-15
929282399,927000717,12249,5,4,4,2017-06-15
53457775,436354849,188,9,9,5,2017-06-15
1750929825,509894971,2139,39,33,29,2017-06-15
1797478476,2019896863,824,25,20,19,2017-06-15
596479765,927000717,25,1,1,1,2017-06-15
1797478476,2120606799,10013,76,68,61,2017-06-15
1669106938,12547397,1765,51,44,40,2017-06-15
1028108067,1093938767,1746,12,12,11,2017-06-15
998750028,436354849,8,0,0,0,2017-06-15
1797478476,1983103244,1553,39,32,28,2017-06-15
1542859260,717422158,187,7,4,2,2017-06-15
1797478476,1127633220,2262,28,21,18,2017-06-15
1863652836,1127633220,330,8,6,5,2017-06-15
717422158,425693387,636,13,11,10,2017-06-15
1093938767,1610791280,100,2,2,2,2017-06-15
1542859260,1532059983,66537,24,22,22,2017-06-15
1329943085,143668405,26,2,1,1,2017-06-15
927000717,1595046803,1,0,0,0,2017-06-15
1610791280,596479765,4618,17,16,16,2017-06-15
1797478476,1319384206,91,4,2,2,2017-06-15
766418045,1797478476,55241,53,48,42,2017-06-15
937382991,425693387,1,0,0,0,2017-06-15
929282399,1983103244,5,0,0,0,2017-06-15
1319384206,509894971,61310,2,2,2,2017-06-15
12547397,1105957944,9775,186,162,147,2017-06-15
1797478476,596479765,2163,31,25,23,2017-06-15
53457775,1634201119,12706,6,6,5,2017-06-15
1542859260,929282399,51,2,1,1,2017-06-15
1931053114,261506095,7231,53,47,46,2017-06-15
1542859260,12547397,4,0,0,0,2017-06-15
1319384206,12547397,55002,129,115,107,2017-06-15
717422158,509894971,24,2,2,0,2017-06-15
785521379,1797478476,758,26,22,19,2017-06-15
2019896863,717422158,44,1,1,1,2017-06-15
188022388,529267318,50185,283,261,243,2017-06-15
1093938767,53457775,870,9,9,8,2017-06-15
1093938767,1983103244,40822,116,102,94,2017-06-15
727607194,195301567,36,3,2,0,2017-06-15
927000717,436354849,58,2,2,2,2017-06-15
1797478476,1105957944,60,4,4,2,2017-06-15
261506095,727607194,1,0,0,0,2017-06-15
785521379,2019896863,205,2,2,2,2017-06-15
2120606799,596479765,1029,17,17,15,2017-06-15
937382991,1797478476,283,11,10,6,2017-06-15
727607194,929282399,59,2,2,2,2017-06-15
1329943085,1523535840,20775,10,7,7,2017-06-15
1983103244,596479765,375,10,8,6,2017-06-15
436354849,766418045,726,21,17,15,2017-06-15
667431128,188022388,127,5,5,4,2017-06-15
509894971,1523535840,14838,2,2,2,2017-06-15
1127633220,1610791280,310,4,4,3,2017-06-15
1542859260,766418045,20069,7,7,7,2017-06-15
1855318031,667431128,35,2,2,2,2017-06-15
1750929825,1610791280,3151,1,1,1,2017-06-15
766418045,596479765,134,4,3,2,2017-06-15
425693387,1297626412,3,0,0,0,2017-06-15
1297626412,1340120396,17,2,0,0,2017-06-15
1127633220,1340120396,3,0,0,0,2017-06-15
785521379,261506095,57204,140,128,118,2017-06-15
1983103244,261506095,9790,25,25,25,2017-06-15
1275847397,1634201119,60983,87,87,86,2017-06-15
1863652836,1532059983,68910,2,2,2,2017-06-15
1669106938,509894971,3126,19,17,16,2017-06-15
1028108067,1797478476,3173,83,67,60,2017-06-15
1028108067,1610791280,58348,463,412,379,2017-06-15
1797478476,644337676,333,14,10,9,2017-06-15
717422158,596479765,7,0,0,0,2017-06-15
